model,cv_rmse,cv_r2,cv_mae,test_rmse,test_r2,test_mae
LinearRegression,52.94500629728062,0.9340072825524184,42.81428727687709,52.30491336224589,0.9559629211837222,39.428903170797255
DecisionTree d=5,65.32247572137966,0.8979224745735508,42.26527260702261,96.31154311850932,0.8506895477703991,64.47999999999999
GradientBoosting,45.90884400497513,0.950029067476256,30.931541991304755,38.69160867534589,0.9759027711724134,28.952301438284955
